V0,V-1,V-2,V-3,I0,ID0,dd-1,dd-2,dd-3,dv-1,dv-2,dv-3,dID-1,dID-2,dID-3,tag
-0.69574,-0.75899,-0.69574,-0.69574,13.036,91.66,0.05524,0.056891,-0.0069278,0.00063249,-0.00070277,0,0.13735,-0.14205,-0.011708,8
-0.69574,-0.69574,-0.75899,-0.69574,13.109,81.929,-0.079545,0.05524,0.056891,0,0.00063249,-0.00070277,-0.097311,0.13735,-0.14205,8
-0.63249,-0.69574,-0.69574,-0.75899,12.898,80.615,0.0035107,-0.079545,0.05524,0.00063249,0,0.00063249,-0.01314,-0.097311,0.13735,8
-0.56924,-0.63249,-0.69574,-0.69574,13.215,82.597,0.0022264,0.0035107,-0.079545,0.00063249,0.00063249,0,0.019817,-0.01314,-0.097311,8
-0.50599,-0.56924,-0.63249,-0.69574,13.008,81.3,-0.036885,0.0022264,0.0035107,0.00063249,0.00063249,0.00063249,-0.012967,0.019817,-0.01314,8
-0.31624,-0.37949,-0.37949,-0.44274,13.006,81.285,-0.015231,-0.097544,-0.012882,0.00063249,0,0.00070276,-0.025483,-0.88524,-0.052992,8
-0.31624,-0.31624,-0.37949,-0.37949,13.074,173.64,0.10497,-0.015231,-0.097544,0,0.00063249,0,0.9236,-0.025483,-0.88524,8
-0.31624,-0.31624,-0.31624,-0.37949,13.26,82.878,-0.096236,0.10497,-0.015231,0,0,0.00063249,-0.90767,0.9236,-0.025483,8
-0.37949,-0.31624,-0.253,-0.253,12.61,364.5,0.15917,0.045853,-0.12885,-0.00063249,-0.00070276,0,2.8067,0.046772,-0.89258,8
-0.37949,-0.37949,-0.31624,-0.253,13.469,84.179,-0.16114,0.15917,0.045853,0,-0.00063249,-0.00070276,-2.8032,2.8067,0.046772,8
-0.063249,0.063249,-0.063249,0.063249,12.148,351.16,0.0016305,-0.00096861,0.0013264,-0.001265,0.00063249,-0.00066578,-0.018225,-0.017812,-0.011091,8
-0.063249,-0.063249,0.063249,-0.063249,13.016,376.23,0.0014603,0.0016305,-0.00096861,-3.038E-10,-0.001265,0.00063249,0.03173,-0.018225,-0.017812,8
-0.253,-0.063249,-0.063249,0.063249,12.543,636.94,0.010014,0.0014603,0.0016305,-0.00048653,-3.038E-10,-0.001265,0.66849,0.03173,-0.018225,8
1.4547,-0.253,-0.063249,-0.063249,9.8991,317.08,-0.00022695,0.010014,0.0014603,9.9396E-05,-0.00048653,-3.038E-10,-0.018617,0.66849,0.03173,8
3.4154,1.4547,-0.253,-0.063249,10.81,346.26,0.014358,-0.00022695,0.010014,0.021786,9.9396E-05,-0.00048653,0.32422,-0.018617,0.66849,8
2.783,3.4154,1.4547,-0.253,11.338,372.04,-0.0032511,0.014358,-0.00022695,-0.0031624,0.021786,9.9396E-05,0.12892,0.32422,-0.018617,8
2.2137,2.783,3.4154,1.4547,11.548,387.96,-0.0062377,-0.0032511,0.014358,-0.0014231,-0.0031624,0.021786,0.039777,0.12892,0.32422,8
2.2137,2.2137,2.783,3.4154,11.089,372.54,0.040903,-0.0062377,-0.0032511,0,-0.0014231,-0.0031624,-0.15419,0.039777,0.12892,8
2.2137,2.2137,2.2137,2.783,11.775,404.77,-0.013955,0.040903,-0.0062377,0,0,-0.0014231,0.35812,-0.15419,0.039777,8
